date,region,product,sales,deals_closed,inventory
2022-01-31,Region_10,Product_1,9993,15,581
2022-02-28,Region_10,Product_1,5425,36,333
2022-03-31,Region_10,Product_1,19009,25,143
2022-04-30,Region_10,Product_1,19668,44,336
2022-05-31,Region_10,Product_1,14938,23,846
2022-06-30,Region_10,Product_1,14374,33,721
2022-07-31,Region_10,Product_1,11172,19,700
2022-08-31,Region_10,Product_1,15637,32,154
2022-09-30,Region_10,Product_1,12865,43,123
2022-10-31,Region_10,Product_1,14032,11,325
2022-11-30,Region_10,Product_1,17337,32,164
2022-12-31,Region_10,Product_1,16690,39,691
2023-01-31,Region_10,Product_1,13270,46,588
2023-02-28,Region_10,Product_1,6288,42,739
2023-03-31,Region_10,Product_1,11271,14,375
2023-04-30,Region_10,Product_1,7009,12,819
2023-05-31,Region_10,Product_1,16323,37,881
2023-06-30,Region_10,Product_1,13268,31,591
2023-07-31,Region_10,Product_1,5006,47,798
2023-08-31,Region_10,Product_1,6235,34,688
2023-09-30,Region_10,Product_1,19354,44,456
2023-10-31,Region_10,Product_1,16476,25,185
2023-11-30,Region_10,Product_1,17141,39,146
2023-12-31,Region_10,Product_1,8776,29,315
2024-01-31,Region_10,Product_1,7008,13,429
2024-02-29,Region_10,Product_1,14853,16,375
2024-03-31,Region_10,Product_1,18030,30,955
2024-04-30,Region_10,Product_1,10538,19,786
2024-05-31,Region_10,Product_1,8383,38,417
2024-06-30,Region_10,Product_1,9176,31,512
2024-07-31,Region_10,Product_1,5040,16,167
2024-08-31,Region_10,Product_1,10072,35,550
2024-09-30,Region_10,Product_1,7271,37,571
2024-10-31,Region_10,Product_1,8314,30,302
2024-11-30,Region_10,Product_1,8559,10,818
2024-12-31,Region_10,Product_1,10170,32,469
