date,region,product,sales,deals_closed,inventory
2022-01-31,Region_12,Product_3,5218,13,157
2022-02-28,Region_12,Product_3,15104,30,808
2022-03-31,Region_12,Product_3,13879,41,769
2022-04-30,Region_12,Product_3,19163,13,413
2022-05-31,Region_12,Product_3,10113,47,352
2022-06-30,Region_12,Product_3,13666,16,430
2022-07-31,Region_12,Product_3,10121,22,352
2022-08-31,Region_12,Product_3,15661,14,600
2022-09-30,Region_12,Product_3,10478,26,692
2022-10-31,Region_12,Product_3,8972,44,524
2022-11-30,Region_12,Product_3,5064,42,621
2022-12-31,Region_12,Product_3,5171,22,189
2023-01-31,Region_12,Product_3,7477,10,581
2023-02-28,Region_12,Product_3,10818,23,880
2023-03-31,Region_12,Product_3,13972,24,263
2023-04-30,Region_12,Product_3,7170,41,121
2023-05-31,Region_12,Product_3,16536,44,323
2023-06-30,Region_12,Product_3,16951,25,238
2023-07-31,Region_12,Product_3,5929,45,464
2023-08-31,Region_12,Product_3,15452,42,972
2023-09-30,Region_12,Product_3,18991,26,991
2023-10-31,Region_12,Product_3,11243,36,247
2023-11-30,Region_12,Product_3,11780,41,891
2023-12-31,Region_12,Product_3,10269,36,223
2024-01-31,Region_12,Product_3,12671,43,383
2024-02-29,Region_12,Product_3,15040,23,641
2024-03-31,Region_12,Product_3,14128,33,956
2024-04-30,Region_12,Product_3,7524,39,640
2024-05-31,Region_12,Product_3,6388,34,628
2024-06-30,Region_12,Product_3,5888,41,711
2024-07-31,Region_12,Product_3,10805,39,892
2024-08-31,Region_12,Product_3,16112,16,414
2024-09-30,Region_12,Product_3,16601,14,170
2024-10-31,Region_12,Product_3,5485,20,754
2024-11-30,Region_12,Product_3,5043,15,654
2024-12-31,Region_12,Product_3,18603,20,583
