date,region,product,sales,deals_closed,inventory
2022-01-31,Region_1,Product_2,7490,43,306
2022-02-28,Region_1,Product_2,17402,17,162
2022-03-31,Region_1,Product_2,10994,49,634
2022-04-30,Region_1,Product_2,15952,49,882
2022-05-31,Region_1,Product_2,9170,19,104
2022-06-30,Region_1,Product_2,10466,25,208
2022-07-31,Region_1,Product_2,16498,44,421
2022-08-31,Region_1,Product_2,10813,35,841
2022-09-30,Region_1,Product_2,17353,18,232
2022-10-31,Region_1,Product_2,10821,37,845
2022-11-30,Region_1,Product_2,8320,35,844
2022-12-31,Region_1,Product_2,10775,39,420
2023-01-31,Region_1,Product_2,18357,38,675
2023-02-28,Region_1,Product_2,12916,20,206
2023-03-31,Region_1,Product_2,10845,38,374
2023-04-30,Region_1,Product_2,9242,46,918
2023-05-31,Region_1,Product_2,16214,44,150
2023-06-30,Region_1,Product_2,6100,27,435
2023-07-31,Region_1,Product_2,19634,15,903
2023-08-31,Region_1,Product_2,9852,38,375
2023-09-30,Region_1,Product_2,17153,40,510
2023-10-31,Region_1,Product_2,13826,23,739
2023-11-30,Region_1,Product_2,15168,22,380
2023-12-31,Region_1,Product_2,11441,36,147
2024-01-31,Region_1,Product_2,5360,41,885
2024-02-29,Region_1,Product_2,14440,34,321
2024-03-31,Region_1,Product_2,7301,39,367
2024-04-30,Region_1,Product_2,17258,14,234
2024-05-31,Region_1,Product_2,16749,20,923
2024-06-30,Region_1,Product_2,12059,25,508
2024-07-31,Region_1,Product_2,14475,33,786
2024-08-31,Region_1,Product_2,18505,20,293
2024-09-30,Region_1,Product_2,19261,10,363
2024-10-31,Region_1,Product_2,9034,16,772
2024-11-30,Region_1,Product_2,19567,18,468
2024-12-31,Region_1,Product_2,6695,25,144
