date,region,product,sales,deals_closed,inventory
2022-01-31,Region_5,Product_1,5566,46,156
2022-02-28,Region_5,Product_1,16291,42,224
2022-03-31,Region_5,Product_1,16411,36,807
2022-04-30,Region_5,Product_1,8151,22,553
2022-05-31,Region_5,Product_1,6560,38,691
2022-06-30,Region_5,Product_1,13207,42,438
2022-07-31,Region_5,Product_1,12847,13,178
2022-08-31,Region_5,Product_1,17443,16,443
2022-09-30,Region_5,Product_1,12361,26,411
2022-10-31,Region_5,Product_1,11747,26,812
2022-11-30,Region_5,Product_1,19316,40,383
2022-12-31,Region_5,Product_1,5429,20,489
2023-01-31,Region_5,Product_1,7530,44,600
2023-02-28,Region_5,Product_1,6284,19,228
2023-03-31,Region_5,Product_1,12846,31,982
2023-04-30,Region_5,Product_1,11201,34,908
2023-05-31,Region_5,Product_1,15866,47,723
2023-06-30,Region_5,Product_1,15654,46,135
2023-07-31,Region_5,Product_1,6760,20,560
2023-08-31,Region_5,Product_1,7747,16,194
2023-09-30,Region_5,Product_1,8461,36,510
2023-10-31,Region_5,Product_1,5679,13,242
2023-11-30,Region_5,Product_1,10911,32,965
2023-12-31,Region_5,Product_1,5070,34,791
2024-01-31,Region_5,Product_1,9467,26,542
2024-02-29,Region_5,Product_1,14618,22,347
2024-03-31,Region_5,Product_1,14834,26,292
2024-04-30,Region_5,Product_1,19415,24,524
2024-05-31,Region_5,Product_1,11112,12,896
2024-06-30,Region_5,Product_1,12370,32,691
2024-07-31,Region_5,Product_1,6350,39,204
2024-08-31,Region_5,Product_1,12419,42,785
2024-09-30,Region_5,Product_1,13829,23,280
2024-10-31,Region_5,Product_1,14667,22,994
2024-11-30,Region_5,Product_1,5921,35,631
2024-12-31,Region_5,Product_1,12267,17,371
