date,region,product,sales,deals_closed,inventory
2022-01-31,Region_2,Product_3,6826,17,466
2022-02-28,Region_2,Product_3,18957,40,999
2022-03-31,Region_2,Product_3,12532,38,131
2022-04-30,Region_2,Product_3,19927,31,805
2022-05-31,Region_2,Product_3,5213,35,390
2022-06-30,Region_2,Product_3,7652,31,266
2022-07-31,Region_2,Product_3,7640,45,416
2022-08-31,Region_2,Product_3,7948,25,353
2022-09-30,Region_2,Product_3,18747,44,142
2022-10-31,Region_2,Product_3,11476,34,709
2022-11-30,Region_2,Product_3,19254,34,299
2022-12-31,Region_2,Product_3,11641,24,713
2023-01-31,Region_2,Product_3,14370,14,214
2023-02-28,Region_2,Product_3,11328,29,617
2023-03-31,Region_2,Product_3,11954,28,208
2023-04-30,Region_2,Product_3,6315,20,350
2023-05-31,Region_2,Product_3,9925,29,737
2023-06-30,Region_2,Product_3,18304,23,842
2023-07-31,Region_2,Product_3,16129,22,685
2023-08-31,Region_2,Product_3,11640,12,972
2023-09-30,Region_2,Product_3,6456,13,804
2023-10-31,Region_2,Product_3,15106,33,548
2023-11-30,Region_2,Product_3,8436,31,695
2023-12-31,Region_2,Product_3,10101,10,709
2024-01-31,Region_2,Product_3,14956,45,284
2024-02-29,Region_2,Product_3,15808,48,494
2024-03-31,Region_2,Product_3,19487,43,897
2024-04-30,Region_2,Product_3,12333,40,535
2024-05-31,Region_2,Product_3,17148,46,610
2024-06-30,Region_2,Product_3,15680,11,581
2024-07-31,Region_2,Product_3,9351,22,460
2024-08-31,Region_2,Product_3,18801,44,920
2024-09-30,Region_2,Product_3,18241,38,980
2024-10-31,Region_2,Product_3,5526,48,973
2024-11-30,Region_2,Product_3,5455,18,582
2024-12-31,Region_2,Product_3,5641,47,577
