date,region,product,sales,deals_closed,inventory
2022-01-31,Region_3,Product_4,12533,41,377
2022-02-28,Region_3,Product_4,9935,10,239
2022-03-31,Region_3,Product_4,8836,25,647
2022-04-30,Region_3,Product_4,18342,18,698
2022-05-31,Region_3,Product_4,6872,18,588
2022-06-30,Region_3,Product_4,13715,25,381
2022-07-31,Region_3,Product_4,10088,40,980
2022-08-31,Region_3,Product_4,9913,17,370
2022-09-30,Region_3,Product_4,15044,48,757
2022-10-31,Region_3,Product_4,6360,24,620
2022-11-30,Region_3,Product_4,13175,39,990
2022-12-31,Region_3,Product_4,19288,49,818
2023-01-31,Region_3,Product_4,18135,28,498
2023-02-28,Region_3,Product_4,18515,28,977
2023-03-31,Region_3,Product_4,12390,22,461
2023-04-30,Region_3,Product_4,11307,20,851
2023-05-31,Region_3,Product_4,15037,18,274
2023-06-30,Region_3,Product_4,14814,32,196
2023-07-31,Region_3,Product_4,16942,37,223
2023-08-31,Region_3,Product_4,12624,27,668
2023-09-30,Region_3,Product_4,5880,42,753
2023-10-31,Region_3,Product_4,11551,20,818
2023-11-30,Region_3,Product_4,12631,14,680
2023-12-31,Region_3,Product_4,16672,43,395
2024-01-31,Region_3,Product_4,14506,47,563
2024-02-29,Region_3,Product_4,16899,11,143
2024-03-31,Region_3,Product_4,8719,19,713
2024-04-30,Region_3,Product_4,13298,28,250
2024-05-31,Region_3,Product_4,11734,10,254
2024-06-30,Region_3,Product_4,17217,40,787
2024-07-31,Region_3,Product_4,19964,46,578
2024-08-31,Region_3,Product_4,8917,20,405
2024-09-30,Region_3,Product_4,11241,44,205
2024-10-31,Region_3,Product_4,13916,36,904
2024-11-30,Region_3,Product_4,19072,25,285
2024-12-31,Region_3,Product_4,15931,37,922
