date,region,product,sales,deals_closed,inventory
2022-01-31,Region_14,Product_5,9326,48,749
2022-02-28,Region_14,Product_5,8187,40,402
2022-03-31,Region_14,Product_5,5034,35,374
2022-04-30,Region_14,Product_5,19928,43,786
2022-05-31,Region_14,Product_5,6247,28,130
2022-06-30,Region_14,Product_5,10082,29,771
2022-07-31,Region_14,Product_5,10271,14,504
2022-08-31,Region_14,Product_5,9909,19,124
2022-09-30,Region_14,Product_5,17361,43,452
2022-10-31,Region_14,Product_5,10406,37,202
2022-11-30,Region_14,Product_5,15988,44,802
2022-12-31,Region_14,Product_5,12615,36,208
2023-01-31,Region_14,Product_5,9015,14,732
2023-02-28,Region_14,Product_5,5792,32,511
2023-03-31,Region_14,Product_5,19937,17,952
2023-04-30,Region_14,Product_5,14195,42,597
2023-05-31,Region_14,Product_5,5315,21,237
2023-06-30,Region_14,Product_5,17246,26,711
2023-07-31,Region_14,Product_5,12388,32,246
2023-08-31,Region_14,Product_5,18622,44,525
2023-09-30,Region_14,Product_5,11447,40,127
2023-10-31,Region_14,Product_5,12666,33,722
2023-11-30,Region_14,Product_5,13050,38,705
2023-12-31,Region_14,Product_5,11294,31,963
2024-01-31,Region_14,Product_5,13150,42,694
2024-02-29,Region_14,Product_5,17062,10,104
2024-03-31,Region_14,Product_5,6301,43,451
2024-04-30,Region_14,Product_5,5500,40,122
2024-05-31,Region_14,Product_5,7455,33,880
2024-06-30,Region_14,Product_5,12342,30,234
2024-07-31,Region_14,Product_5,18064,26,197
2024-08-31,Region_14,Product_5,15282,42,426
2024-09-30,Region_14,Product_5,16278,42,960
2024-10-31,Region_14,Product_5,14966,30,875
2024-11-30,Region_14,Product_5,15867,22,266
2024-12-31,Region_14,Product_5,7222,46,551
