date,region,product,sales,deals_closed,inventory
2022-01-31,Region_6,Product_2,13258,32,210
2022-02-28,Region_6,Product_2,7470,33,441
2022-03-31,Region_6,Product_2,10657,40,197
2022-04-30,Region_6,Product_2,5720,11,309
2022-05-31,Region_6,Product_2,6113,28,989
2022-06-30,Region_6,Product_2,16414,15,826
2022-07-31,Region_6,Product_2,5985,14,796
2022-08-31,Region_6,Product_2,13211,27,371
2022-09-30,Region_6,Product_2,18763,16,617
2022-10-31,Region_6,Product_2,10279,38,577
2022-11-30,Region_6,Product_2,19578,49,618
2022-12-31,Region_6,Product_2,19888,46,700
2023-01-31,Region_6,Product_2,9822,23,797
2023-02-28,Region_6,Product_2,10266,11,555
2023-03-31,Region_6,Product_2,5296,29,880
2023-04-30,Region_6,Product_2,10100,10,953
2023-05-31,Region_6,Product_2,7066,12,962
2023-06-30,Region_6,Product_2,14670,30,750
2023-07-31,Region_6,Product_2,7009,15,187
2023-08-31,Region_6,Product_2,8347,49,677
2023-09-30,Region_6,Product_2,8927,41,798
2023-10-31,Region_6,Product_2,5244,21,411
2023-11-30,Region_6,Product_2,18414,22,836
2023-12-31,Region_6,Product_2,14747,11,277
2024-01-31,Region_6,Product_2,16679,48,666
2024-02-29,Region_6,Product_2,8630,43,264
2024-03-31,Region_6,Product_2,12976,16,772
2024-04-30,Region_6,Product_2,18248,10,561
2024-05-31,Region_6,Product_2,6228,12,903
2024-06-30,Region_6,Product_2,16427,27,607
2024-07-31,Region_6,Product_2,6765,34,697
2024-08-31,Region_6,Product_2,7241,11,322
2024-09-30,Region_6,Product_2,6721,15,883
2024-10-31,Region_6,Product_2,19070,45,390
2024-11-30,Region_6,Product_2,9855,29,959
2024-12-31,Region_6,Product_2,19444,30,599
