date,region,product,sales,deals_closed,inventory
2022-01-31,Region_11,Product_2,14627,20,944
2022-02-28,Region_11,Product_2,17592,34,788
2022-03-31,Region_11,Product_2,11790,24,205
2022-04-30,Region_11,Product_2,10619,45,621
2022-05-31,Region_11,Product_2,18480,11,226
2022-06-30,Region_11,Product_2,13645,21,478
2022-07-31,Region_11,Product_2,16033,46,166
2022-08-31,Region_11,Product_2,15583,48,994
2022-09-30,Region_11,Product_2,15777,13,624
2022-10-31,Region_11,Product_2,19450,41,404
2022-11-30,Region_11,Product_2,16901,36,985
2022-12-31,Region_11,Product_2,15449,14,456
2023-01-31,Region_11,Product_2,11916,34,852
2023-02-28,Region_11,Product_2,12174,47,810
2023-03-31,Region_11,Product_2,14974,48,774
2023-04-30,Region_11,Product_2,10080,17,431
2023-05-31,Region_11,Product_2,10503,41,598
2023-06-30,Region_11,Product_2,16158,19,581
2023-07-31,Region_11,Product_2,6989,39,914
2023-08-31,Region_11,Product_2,6512,45,797
2023-09-30,Region_11,Product_2,14885,41,108
2023-10-31,Region_11,Product_2,8032,29,140
2023-11-30,Region_11,Product_2,16264,49,451
2023-12-31,Region_11,Product_2,9957,29,363
2024-01-31,Region_11,Product_2,9257,44,207
2024-02-29,Region_11,Product_2,15447,36,715
2024-03-31,Region_11,Product_2,5018,41,450
2024-04-30,Region_11,Product_2,7856,40,821
2024-05-31,Region_11,Product_2,12974,38,906
2024-06-30,Region_11,Product_2,5170,22,992
2024-07-31,Region_11,Product_2,6829,30,448
2024-08-31,Region_11,Product_2,7817,22,864
2024-09-30,Region_11,Product_2,17833,26,251
2024-10-31,Region_11,Product_2,11238,25,426
2024-11-30,Region_11,Product_2,10467,23,498
2024-12-31,Region_11,Product_2,6487,13,115
