date,region,product,sales,deals_closed,inventory
2022-01-31,Region_9,Product_5,17356,41,242
2022-02-28,Region_9,Product_5,10365,13,524
2022-03-31,Region_9,Product_5,7151,43,459
2022-04-30,Region_9,Product_5,13314,48,778
2022-05-31,Region_9,Product_5,15227,16,348
2022-06-30,Region_9,Product_5,11684,18,225
2022-07-31,Region_9,Product_5,19754,33,163
2022-08-31,Region_9,Product_5,6722,34,359
2022-09-30,Region_9,Product_5,19729,49,263
2022-10-31,Region_9,Product_5,7597,14,231
2022-11-30,Region_9,Product_5,6411,24,273
2022-12-31,Region_9,Product_5,12060,31,188
2023-01-31,Region_9,Product_5,16409,33,186
2023-02-28,Region_9,Product_5,16469,16,805
2023-03-31,Region_9,Product_5,13989,33,629
2023-04-30,Region_9,Product_5,8145,34,433
2023-05-31,Region_9,Product_5,11766,41,457
2023-06-30,Region_9,Product_5,5954,44,245
2023-07-31,Region_9,Product_5,11664,32,314
2023-08-31,Region_9,Product_5,9310,20,190
2023-09-30,Region_9,Product_5,18667,16,263
2023-10-31,Region_9,Product_5,12442,11,870
2023-11-30,Region_9,Product_5,7270,16,752
2023-12-31,Region_9,Product_5,7440,19,130
2024-01-31,Region_9,Product_5,16536,21,838
2024-02-29,Region_9,Product_5,7605,49,261
2024-03-31,Region_9,Product_5,7973,43,177
2024-04-30,Region_9,Product_5,19446,25,359
2024-05-31,Region_9,Product_5,17678,35,273
2024-06-30,Region_9,Product_5,12052,17,766
2024-07-31,Region_9,Product_5,17589,49,140
2024-08-31,Region_9,Product_5,5467,31,773
2024-09-30,Region_9,Product_5,9680,35,896
2024-10-31,Region_9,Product_5,10658,12,324
2024-11-30,Region_9,Product_5,16050,29,748
2024-12-31,Region_9,Product_5,11049,49,231
