date,region,product,sales,deals_closed,inventory
2022-01-31,Region_7,Product_3,16876,11,130
2022-02-28,Region_7,Product_3,9709,42,900
2022-03-31,Region_7,Product_3,14841,41,943
2022-04-30,Region_7,Product_3,10458,45,544
2022-05-31,Region_7,Product_3,19408,14,199
2022-06-30,Region_7,Product_3,12236,36,752
2022-07-31,Region_7,Product_3,12646,28,751
2022-08-31,Region_7,Product_3,17739,49,624
2022-09-30,Region_7,Product_3,12177,29,857
2022-10-31,Region_7,Product_3,12807,12,736
2022-11-30,Region_7,Product_3,11777,22,913
2022-12-31,Region_7,Product_3,11966,45,207
2023-01-31,Region_7,Product_3,5315,35,150
2023-02-28,Region_7,Product_3,12871,10,159
2023-03-31,Region_7,Product_3,6184,38,364
2023-04-30,Region_7,Product_3,18697,17,694
2023-05-31,Region_7,Product_3,11696,21,514
2023-06-30,Region_7,Product_3,12530,36,971
2023-07-31,Region_7,Product_3,7880,17,832
2023-08-31,Region_7,Product_3,10204,16,247
2023-09-30,Region_7,Product_3,18000,23,546
2023-10-31,Region_7,Product_3,14562,49,522
2023-11-30,Region_7,Product_3,18947,47,276
2023-12-31,Region_7,Product_3,12298,33,476
2024-01-31,Region_7,Product_3,7062,11,380
2024-02-29,Region_7,Product_3,8771,41,997
2024-03-31,Region_7,Product_3,7392,33,248
2024-04-30,Region_7,Product_3,13301,19,684
2024-05-31,Region_7,Product_3,5138,46,908
2024-06-30,Region_7,Product_3,8767,29,248
2024-07-31,Region_7,Product_3,19399,24,665
2024-08-31,Region_7,Product_3,9825,23,639
2024-09-30,Region_7,Product_3,16291,12,664
2024-10-31,Region_7,Product_3,7175,31,898
2024-11-30,Region_7,Product_3,12438,26,673
2024-12-31,Region_7,Product_3,14972,32,546
