date,region,product,sales,deals_closed,inventory
2022-01-31,Region_8,Product_4,6516,49,409
2022-02-28,Region_8,Product_4,5505,32,778
2022-03-31,Region_8,Product_4,6110,39,360
2022-04-30,Region_8,Product_4,18879,14,508
2022-05-31,Region_8,Product_4,10614,22,290
2022-06-30,Region_8,Product_4,9858,35,299
2022-07-31,Region_8,Product_4,7625,11,637
2022-08-31,Region_8,Product_4,11059,40,162
2022-09-30,Region_8,Product_4,14171,23,907
2022-10-31,Region_8,Product_4,13492,42,224
2022-11-30,Region_8,Product_4,14932,40,476
2022-12-31,Region_8,Product_4,15606,11,178
2023-01-31,Region_8,Product_4,19831,35,625
2023-02-28,Region_8,Product_4,14603,34,435
2023-03-31,Region_8,Product_4,5915,16,865
2023-04-30,Region_8,Product_4,14956,18,496
2023-05-31,Region_8,Product_4,19000,29,113
2023-06-30,Region_8,Product_4,11467,25,335
2023-07-31,Region_8,Product_4,18633,48,918
2023-08-31,Region_8,Product_4,19833,25,737
2023-09-30,Region_8,Product_4,19955,13,767
2023-10-31,Region_8,Product_4,8450,31,570
2023-11-30,Region_8,Product_4,6583,32,496
2023-12-31,Region_8,Product_4,17583,34,912
2024-01-31,Region_8,Product_4,6520,41,425
2024-02-29,Region_8,Product_4,5213,32,340
2024-03-31,Region_8,Product_4,10650,44,796
2024-04-30,Region_8,Product_4,18625,17,412
2024-05-31,Region_8,Product_4,12860,40,957
2024-06-30,Region_8,Product_4,17322,14,375
2024-07-31,Region_8,Product_4,19967,14,442
2024-08-31,Region_8,Product_4,8584,18,817
2024-09-30,Region_8,Product_4,18779,26,280
2024-10-31,Region_8,Product_4,13328,40,832
2024-11-30,Region_8,Product_4,14659,48,584
2024-12-31,Region_8,Product_4,14158,23,669
